,zona,quartos,area,preco
28,sul,3,150,3500
29,sul,3,150,4500
30,sul,3,320,4000
31,sul,2,180,2500
32,sul,3,120,1800
33,sul,,80,2600
34,sul,1,28,1100
35,sul,2,187,4500
36,sul,,80,7000
37,sul,3,202,5900
38,sul,,160,4991
39,sul,,300,10000
40,sul,2,120,4000
41,sul,,540,14900
42,sul,4,460,6000
43,sul,3,150,3500
44,sul,4,400,5200
45,sul,5,490,10000
46,sul,3,30,18000
47,sul,,250,5500
0,sul,2,80,4400
1,sul,5,380,9000
2,sul,,162,6000
3,sul,,300,6500
4,sul,6,200,6700
5,sul,,560,20000
6,sul,,100,13000
7,sul,3,240,6000
8,sul,4,550,10500
9,sul,3,125,3500
10,sul,5,360,8900
11,sul,4,750,18000
12,sul,,480,20000
13,sul,3,200,4000
14,sul,3,200,4000
15,sul,,130,2900
16,sul,2,120,3200
17,sul,2,50,1600
18,sul,,140,3000
19,sul,,,5000
20,sul,,180,3301
21,sul,,120,6000
22,sul,4,330,7000
23,sul,6,350,10000
24,sul,,161,6000
25,sul,10,300,14000
26,sul,2,130,5000
27,sul,3,380,10000
28,sul,3,300,15000
29,sul,4,351,9870
30,sul,,134,3000
31,sul,4,186,6000
32,sul,4,120,5000
33,sul,3,150,4000
34,sul,,1000,48000
35,sul,4,360,10000
36,sul,,330,8000
37,sul,,480,20000
38,sul,4,1300,60000
39,sul,2,100,2200
40,sul,1,51,3500
41,sul,3,160,4000
42,sul,3,185,3200
43,sul,2,250,3000
44,sul,3,230,6000
45,sul,3,150,5000
46,sul,3,350,7000
47,sul,2,123,5000
0,sul,,150,4000
1,sul,,180,4700
2,sul,,329,10000
3,sul,4,250,5500
4,sul,2,120,3100
5,sul,,400,6500
6,sul,7,180,9000
7,sul,,350,12500
8,sul,,380,9500
9,sul,,220,10600
10,sul,4,300,12000
11,sul,3,220,5500
12,sul,,300,15000
13,sul,,297,4500
14,sul,,300,15000
15,sul,6,300,10000
16,sul,3,89,2400
17,sul,4,350,5200
18,sul,4,400,9000
19,sul,,300,5000
20,sul,3,478,23000
21,sul,3,290,20000
22,sul,2,60,2000
23,sul,4,299,7800
24,sul,2,160,2500
25,sul,,434,45000
26,sul,3,227,5500
27,sul,4,276,3500
28,sul,3,350,5000
29,sul,2,5,1800
30,sul,4,165,2100
31,sul,2,70,1800
32,sul,3,200,3500
33,sul,3,480,8100
34,sul,3,360,18000
35,sul,4,184,3100
36,sul,1,50,1700
37,sul,3,138,4500
38,sul,2,65,2000
39,sul,3,180,4000
40,sul,3,120,6000
41,sul,4,197,5600
42,sul,3,220,7000
43,sul,2,224,10000
44,sul,2,45,1400
45,sul,3,300,7500
46,sul,3,146,4000
47,sul,1,110,4000
0,sul,3,150,2800
1,sul,3,138,3500
2,sul,,150,4000
3,sul,3,280,12100
4,sul,4,360,15000
5,sul,2,200,5900
6,sul,4,650,10000
7,sul,,200,7000
8,sul,3,150,3500
9,sul,,250,5000
